epoch,train_mse,val_mse,learning_rate,epoch_seconds,elapsed_seconds
1,0.03248442231211662,0.03525246758019924,0.0003,438.3071490000002,438.306827200111
2,0.02340534319585562,0.03601510236465931,0.0003,438.4527520998381,876.8297552999575
3,0.01853126826682091,0.038760987792372706,0.0003,436.1294929999858,1313.012430800125
4,0.016348455476260185,0.03727904095429182,0.0003,432.4323148999829,1745.4947267000098
5,0.015242109064769745,0.035330270246386526,0.0003,434.1453991997987,2179.670005500084
6,0.014521780862760543,0.03679887301278114,0.0003,435.6956382000353,2615.407643200131
7,0.014037970358920097,0.03723525935781002,0.0003,430.6890549000818,3046.1250438001007
8,0.01365124475647211,0.037268762092113494,0.0003,426.47375019988976,3472.627065700013
9,0.013355121653485298,0.03678851643627882,0.0003,429.05164319998585,3901.7203631000593
10,0.01310209524229765,0.03701742343068123,0.0003,428.4611802001018,4330.206491300138
