horizon,mse,mae,rmse,nrmse_std
1,3.1390116214752197,0.7646536827087402,1.7717256546020508,0.21207161247730255
5,8.066923141479492,1.170659065246582,2.8402328491210938,0.30250951647758484
10,19.47539520263672,1.6210798025131226,4.413093566894531,0.4204167425632477
20,22.305246353149414,2.055408477783203,4.722843170166016,0.43559107184410095
50,35.585323333740234,3.240805149078369,5.965343475341797,0.48315566778182983
