dataset_scale,world_model_architecture,world_model_checkpoint,strategy,seed,episode_return,episode_length,action_clipped_fraction,runtime_seconds,planning_seconds,mean_planner_latency_seconds,median_planner_latency_seconds,model_evaluations,mean_effective_sample_size,planner,frozen_variant,config_variant
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,reference_iCEM,42,-332008.1148963393,1000,0.0,59.85949829989113,59.623217596439645,0.05962321759643965,0.05765099998097867,999970,,iCEM,beta2_budget40,
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,reference_iCEM,43,-331353.9468561734,1000,0.0,58.19701150013134,57.96890999516472,0.05796890999516472,0.056094200001098216,999970,,iCEM,beta2_budget40,
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,reference_iCEM,44,-343484.9493171434,1000,0.0,65.85188139998354,65.60171940294094,0.06560171940294095,0.060906199854798615,999970,,iCEM,beta2_budget40,
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,reference_iCEM,45,-333566.80131012097,1000,0.0,54.68257359997369,54.45956999971531,0.05445956999971531,0.05167929991148412,999970,,iCEM,beta2_budget40,
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,reference_iCEM,46,-332570.07478236797,1000,0.0,48.609869699925184,48.39665660774335,0.04839665660774335,0.04720314987935126,999970,,iCEM,beta2_budget40,
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,reference_iCEM_parameter_check,42,-317320.6201977833,1000,0.0,55.91678349999711,55.68441239930689,0.055684412399306896,0.054064400028437376,999970,,iCEM,beta0_budget40,white_beta0_budget40
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,reference_iCEM,43,-308840.42639200715,1000,0.0,64.30511859990656,64.04837890039198,0.06404837890039199,0.0633148499764502,999970,,iCEM,beta0_budget40,reference_beta2_budget40
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,reference_iCEM,44,-339108.00208887405,1000,0.0,66.61138719995506,66.35033260076307,0.06635033260076306,0.06423105008434504,999970,,iCEM,beta0_budget40,reference_beta2_budget40
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,reference_iCEM,45,-265286.2517581833,1000,0.0,65.20502189989202,64.94710699678399,0.064947106996784,0.06365424999967217,999970,,iCEM,beta0_budget40,reference_beta2_budget40
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,reference_iCEM,46,-375765.04332210927,1000,0.0,65.12823709985241,64.86552619701251,0.06486552619701251,0.063577999942936,999970,,iCEM,beta0_budget40,reference_beta2_budget40
