horizon,seed,return,elapsed_seconds,clipped_action_fraction
5,42,-279738.6990598035,9.243885200005025,0.0
5,43,-281772.97356329835,9.039202299900353,0.0
5,44,-280282.8757187169,9.00392960011959,0.0
5,45,-280948.1654246,9.105674599995837,0.0
5,46,-278676.7937025166,8.985901499865577,0.0
10,42,-269809.07563216914,16.86353940004483,0.0
10,43,-269019.5644952832,16.996722500072792,0.0
10,44,-268870.4124338473,16.900274000130594,0.0
10,45,-270098.86524284753,16.82454019994475,0.0
10,46,-269071.8089461006,16.862730300053954,0.0
20,42,-272624.7578133332,32.63459219993092,0.0
20,43,-271844.8822599605,32.45148899988271,0.0
20,44,-272502.12808072363,32.70526199997403,0.0
20,45,-272745.52017836506,32.61030459986068,0.0
20,46,-273374.12105568085,32.90137100010179,0.0
