epoch,train_mse,val_mse,learning_rate,epoch_seconds,elapsed_seconds
1,0.03307937675790787,0.03505911251085997,0.0003,219.22101560002193,219.22083320003003
2,0.01802906745862961,0.04025699741899967,0.0003,212.95862819999456,432.2237070000265
3,0.013535841935431957,0.039616892812252044,0.0003,204.62395779998042,636.8779170999769
4,0.012533906163144112,0.03799628461694717,0.0003,193.4861298999749,830.4028374000918
5,0.012015759421157837,0.03926814338183403,0.0003,203.99338470003568,1034.4077139999717
6,0.011690238207364083,0.0394098237478137,0.0003,195.15245819999836,1229.5989029000048
7,0.011440407656288147,0.04099805746126175,0.0003,188.92470370000228,1418.5433638999239
8,0.011211768116986752,0.040931712325572966,0.0003,190.02092479984276,1608.573515499942
9,0.011014070645046234,0.041863643050432206,0.0003,184.31757250009105,1792.924868500093
10,0.010799729382503032,0.04370095733630657,0.0003,185.09847319987603,1978.0348843999673
