epoch,train_mse,val_mse
1,0.053214108928442,0.033628771741688254
2,0.03333175887751579,0.03239297227710485
3,0.03224709214532375,0.033067983111441136
4,0.031601521026968955,0.03202978178322315
5,0.031146373164415358,0.03344684060961008
