dataset_scale,world_model_architecture,world_model_checkpoint,strategy,seed,episode_return,episode_length,action_clipped_fraction,runtime_seconds,planning_or_inference_seconds,mean_planner_or_inference_latency_seconds,median_planner_or_inference_latency_seconds,model_evaluations,source
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,44,-288027.5107067069,1000,0.021666666666666667,1.6985220999922603,1.367201297543943,0.001367201297543943,0.0011562998406589031,0,main_system_matrix
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,45,-288216.32417794596,1000,0.021333333333333333,1.4804605999961495,1.210140299052,0.0012101402990520001,0.0009872999507933855,0,main_system_matrix
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,46,-287998.42770327453,1000,0.018666666666666668,1.5848429000470787,1.2720610026735812,0.0012720610026735813,0.0010935500031337142,0,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,42,-275016.9331165737,1000,0.0,21.7330815999303,21.458464201074094,0.021458464201074095,0.020379150053486228,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,43,-273935.7450092282,1000,0.0,21.83138220012188,21.552311598323286,0.021552311598323284,0.020666750031523407,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,44,-273294.4814031176,1000,0.0,21.969403099967167,21.688152195885777,0.02168815219588578,0.020831599947996438,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,45,-274339.1436804386,1000,0.0,21.810926700010896,21.528085398953408,0.021528085398953407,0.02074519998859614,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,46,-274601.5582689401,1000,0.0,21.642838299972937,21.363925999496132,0.02136392599949613,0.02058144996408373,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,iCEM,42,-2647512.9512959267,1000,0.0,38.93957239994779,38.637022701324895,0.038637022701324894,0.03741905000060797,999970,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,iCEM,43,-2643244.9496063786,1000,0.0,38.737310900120065,38.43984110490419,0.03843984110490419,0.03728425002191216,999970,main_system_matrix
