epoch,train_mse,val_mse,learning_rate,epoch_seconds,elapsed_seconds
1,0.03415836968536377,0.03723848956942558,0.0003,208.4343110998161,208.43403110001236
2,0.020222438621878624,0.04276122553610802,0.0003,207.61581670003943,416.1020215000026
3,0.014396574164044856,0.04246562907379866,0.0003,198.330994799966,614.4643394998275
4,0.013007540800464153,0.042319304328560826,0.0003,203.4757313001901,817.9702452998608
5,0.01234562531323433,0.042257645029723644,0.0003,193.0514422999695,1011.0524675999768
6,0.011937172187638283,0.04348441874736547,0.0003,191.3603293998167,1202.4404871000443
7,0.011639740064406394,0.04340053926587105,0.0003,190.4398815999739,1392.8905616998672
8,0.01140447629531622,0.04482719367688894,0.0003,184.8588058000896,1577.7645667998586
9,0.01120482953593731,0.043773713961362835,0.0003,180.75187449995428,1758.525754999835
10,0.01100770411643982,0.04518432805132866,0.0003,188.1124778999947,1946.6532510998659
