variable,mse,mae,rmse,nrmse_std
setpoint,4.878771505900659e-06,0.0015400790143758059,0.0022087942343205214,0.0022087942343205214
velocity,0.024115264415740967,0.10052286833524704,0.1552909016609192,0.024963198229670525
gain,0.009275270625948906,0.04099009931087494,0.09630820900201797,0.028996441513299942
shift,0.15154577791690826,0.2692851126194,0.3892888128757477,0.03449292108416557
fatigue,7.420778274536133,1.5915448665618896,2.7241106033325195,0.4173761308193207
consumption,6.1506476402282715,1.767151117324829,2.4800498485565186,0.12374303489923477
