epoch,train_mse,val_mse
1,0.053214108928442,0.033628771741688254
2,0.03333175887751579,0.03239297227710485
3,0.03224709214532375,0.033067983111441136
4,0.031601521026968955,0.03202978178322315
5,0.031146373164415358,0.03344684060961008
6,0.030891879879236223,0.03300297606527805
7,0.030550727593898774,0.03275464745283127
8,0.03036265522313118,0.03382495051711798
9,0.03008991675710678,0.033198170065581796
10,0.029936107198834418,0.033680260341763496
11,0.029810516992807387,0.0318666215339303
12,0.029642733027935027,0.03277735961705446
13,0.02951434180021286,0.03348143665611744
14,0.029396781314611434,0.033183156751096246
15,0.029296631405353546,0.033673911457061764
16,0.029267716366648672,0.033357112925350665
17,0.02913103373646736,0.03332703038543463
18,0.029061682652235032,0.03313781144142151
19,0.02890002685368061,0.0333745748180151
20,0.02880633799290657,0.03324000894486904
21,0.0287487509970665,0.032660502516329286
22,0.02862035333251953,0.03330822720140219
23,0.028510372795462608,0.032352207101881504
24,0.02849088536632061,0.033080401726663114
25,0.028287702815413474,0.03398659214437008
26,0.028189287390708924,0.032730825768113134
27,0.028120181723356247,0.03333929378181696
28,0.027990137590169908,0.03303347634077072
29,0.027867785838007926,0.034293064445853234
30,0.027755681468963622,0.03303493680685759
31,0.02760169668674469,0.03467292784184217
32,0.02758152563750744,0.03225343375623226
33,0.027336348668903113,0.03297043309420347
34,0.027232043644428255,0.03253168629437685
35,0.0270953555611372,0.033152911275327206
36,0.02692157396841049,0.03356851826399565
37,0.026789922988414764,0.0343781683537364
38,0.02673079391515255,0.0344106633245945
39,0.02663323182052374,0.034525790360569956
40,0.026412010460853577,0.03432570326298475
41,0.026298554085612297,0.03413256411373615
42,0.0261655134370327,0.033534232998788355
43,0.026013449499845506,0.03557079262644053
44,0.025872233344435693,0.03495754593074322
45,0.02581873753261566,0.03654950801759958
46,0.025684170946359636,0.035098991747796536
47,0.025550069655895232,0.03505607383787632
48,0.025396521820902823,0.03496012269437313
49,0.025310508917212485,0.035072088426351546
50,0.02521079366338253,0.034556510402560234
51,0.025058788804650307,0.03418996672511101
52,0.024914210448145867,0.034799285967051986
53,0.0247449572930336,0.03661541049718857
54,0.024775856739401816,0.03533626342535019
55,0.02462293445253372,0.035924820497334004
56,0.024562210179328917,0.034831293451189994
57,0.024336371490240098,0.037022922748923305
58,0.02415496866261959,0.03490752360671759
59,0.024057571482181548,0.03522329107046127
60,0.02404660308146477,0.036096064847111704
61,0.023924887925922872,0.035549636082053186
62,0.023924818813025953,0.03712252499401569
63,0.023762106071949004,0.0368983051019907
64,0.023544920010328294,0.03646901352018118
65,0.02347065195441246,0.037835910200178624
66,0.02351441634750366,0.03696982438385486
67,0.023294469914674758,0.03706681531518698
68,0.023276995534420013,0.03705742700010538
69,0.023158208459973337,0.03648407379567623
70,0.023045571051359178,0.03692766806989908
71,0.02302101304990053,0.03625070746868849
72,0.022960123534679414,0.036099443633258343
73,0.02284037143099308,0.03677750521093607
74,0.02275752602213621,0.03757463066905737
75,0.022641665256500243,0.03717666913598776
76,0.02255525560069084,0.03761150424301624
77,0.022489203188657762,0.03675223821789026
78,0.022317069831848144,0.03702375065267086
79,0.02230125738596916,0.038887774224579334
80,0.0222382553358078,0.037385048336684705
81,0.022144296946287154,0.03792943276256323
82,0.022082802319049834,0.037619868775606156
83,0.022030980884432793,0.03698629253923893
84,0.022030128003716468,0.0378809530210495
85,0.02189524867296219,0.03667604772746563
86,0.02182497450184822,0.03754229282617569
87,0.021780378029704093,0.038229536402523516
88,0.021713335482120514,0.038169470238387584
89,0.02167477700203657,0.03853005680680275
90,0.02177749553221464,0.03782975414067507
91,0.021614493017554283,0.03743812986552715
92,0.02148094872510433,0.0389618199005723
93,0.02156096576452255,0.03732580846875906
94,0.021344109082579613,0.037840754954516886
95,0.021293344114661217,0.03873088078677654
96,0.021377313601374626,0.03845749255359173
97,0.021295622625112535,0.03881047102987766
98,0.02124718301743269,0.037998219469487664
99,0.021158980662226677,0.03734486475616693
100,0.021061436863601207,0.038406597814261915
