epoch,train_mse,val_mse,learning_rate,epoch_seconds,elapsed_seconds
1,0.05866381593132019,0.03470260830312967,0.0003,16.943608100060374,16.943607800174505
2,0.03341426827788353,0.03384229045331478,0.0003,16.791646600002423,33.74729010020383
3,0.03223467057931423,0.03363033702135086,0.0003,17.130489900009707,50.88527279999107
4,0.03146328093409538,0.03243950704336166,0.0003,17.120112200034782,68.01264280010946
5,0.030962569235801696,0.03281502703368664,0.0003,16.99381999997422,85.01476470008492
6,0.030662145620346068,0.03213495481938124,0.0003,16.775409699883312,101.79772170004435
7,0.030331778890490532,0.03196535855054855,0.0003,17.013504000147805,118.81892830017023
8,0.030158564904212953,0.032440054823160175,0.0003,17.137463100021705,135.9645214001648
9,0.02987824668586254,0.03253213763594627,0.0003,16.952525000087917,152.9180562000256
10,0.029691399148225783,0.033477447480261324,0.0003,16.94612400000915,169.86530590010807
11,0.029524849843025208,0.03271046292990446,0.0003,17.14634529990144,187.01920370012522
12,0.02938563978791237,0.03272048516243696,0.0003,17.16105270013213,204.18147140019573
13,0.029230361430644988,0.032637345367372034,0.0003,17.048844600096345,221.23158280015923
14,0.029015981684446336,0.034232798456847666,0.0003,17.20209199981764,238.4346566000022
15,0.028801882830381393,0.03389857823759317,0.0003,17.115211899857968,255.55108050000854
16,0.028560862411022188,0.033837399559617044,0.0003,16.86172439996153,272.42086640000343
17,0.028304710770010948,0.03592920591592789,0.0003,17.033917600056157,289.45597510016523
18,0.027919005232810976,0.03509506356328726,0.0003,17.175847499864176,306.6330611000303
19,0.027419240717172624,0.035665766349732876,0.0003,17.558504599845037,324.19276000000536
20,0.026849786590695382,0.03755794683277607,0.0003,17.266229999950156,341.46030790009536
21,0.026168467626333236,0.037638525291383264,0.0003,17.000701500102878,358.47022460005246
22,0.025466510583877562,0.03818847981214523,0.0003,17.167143400060013,375.6387215000577
23,0.024764486062049864,0.038526241652071476,0.0003,16.98607120011002,392.6261014000047
24,0.024051208210468293,0.037272477089166645,0.0003,17.01900259987451,409.6463336001616
25,0.02333959757655859,0.04018683060526848,0.0003,17.064595100004226,426.71212829998694
26,0.022744731256961824,0.040991369299888614,0.0003,17.076968600042164,443.79755850019865
27,0.022128557656288145,0.040105084477961066,0.0003,16.965712699806318,460.7645099000074
28,0.021601817324340345,0.04063289182782173,0.0003,16.824305800022557,477.5900590000674
29,0.02103943685349822,0.040277698971629146,0.0003,17.139942799927667,494.73121920018457
30,0.020559239477038384,0.04046530621230602,0.0003,17.33782529993914,512.0703553000931
31,0.020130101474940775,0.04080417976111174,0.0003,16.99293539999053,529.0718727000058
32,0.019641670332193373,0.04212463802814484,0.0003,17.033360000001267,546.1065043001436
33,0.0192187154879272,0.0410500067204237,0.0003,17.028957499889657,563.1364394000266
34,0.0188014757604599,0.042522277719080445,0.0003,17.035201499937102,580.1730616001878
35,0.01840274757528305,0.042086004082858564,0.0003,16.932567300042138,597.1071149001364
36,0.018113761723399163,0.043666594971716405,0.0003,17.24533380009234,614.360742200166
37,0.01775247691833973,0.04339008365422487,0.0003,17.106808099895716,631.4689795000013
38,0.017481327436327933,0.04379351976573467,0.0003,16.858707200037315,648.3289255001582
39,0.017193650180101393,0.043687707372307774,0.0003,17.04015040001832,665.3703109000344
40,0.01693983895266056,0.0436340693795681,0.0003,17.104551499942318,682.4761715000495
41,0.016633261221587658,0.043425814810395244,0.0003,16.983106000116095,699.4677617000416
42,0.016450651558399202,0.04367247632741928,0.0003,17.098111299797893,716.5672236999962
43,0.016206350352048874,0.0432198582097888,0.0003,17.079547399887815,733.6482320001815
44,0.016068863178670408,0.045132760713100434,0.0003,17.10309260012582,750.7528155001346
45,0.015828658152759075,0.046040183604061605,0.0003,17.011153900064528,767.7652709002141
46,0.01568130040407181,0.04572408448338509,0.0003,16.913320400053635,784.6857065001968
47,0.015541414655566216,0.044360474873781204,0.0003,17.16317280009389,801.850060300203
48,0.015295120862722398,0.04546243580281734,0.0003,16.95995910000056,818.8115375000052
49,0.015166622759342194,0.04385461530983448,0.0003,16.871060699922964,835.6839990001172
50,0.015031473832786083,0.04528313373684883,0.0003,16.948615900008008,852.6337927000131
