epoch,train_mse,val_mse,learning_rate,epoch_seconds,elapsed_seconds
1,0.15447829394817353,0.07523760990798474,0.0003,1.7785262002144009,1.7785262998659164
2,0.060693342716693875,0.05764642277061939,0.0003,1.0923580001108348,2.8797867000102997
3,0.05176483496308327,0.049248717357218266,0.0003,1.2385381998028606,4.12391659989953
4,0.04755043677330017,0.04556215619891882,0.0003,1.1888985999394208,5.318515999941155
5,0.045350301507115366,0.043823334814608095,0.0003,1.2317556999623775,6.55662849987857
6,0.043546515517234805,0.0426971913844347,0.0003,1.1478379999753088,7.717271299799904
7,0.04263968253135681,0.04120081970095634,0.0003,1.2678392000962049,8.991220599971712
8,0.04226744980275631,0.042545356094837186,0.0003,1.1905785999260843,10.18958709994331
9,0.041503634065389636,0.041324607695639136,0.0003,1.2588261000346392,11.449997099814937
10,0.0409410278069973,0.0410936801597476,0.0003,1.1891659998800606,12.640544899972156
11,0.04050472638964653,0.039770029394328596,0.0003,1.3233202998526394,13.977517399936914
12,0.04041652361392975,0.04248399832844734,0.0003,1.1619892998132855,15.146073599811643
13,0.039975038235187534,0.04228998866379261,0.0003,1.299248900031671,16.44671839987859
14,0.039528790732622145,0.04055724126398563,0.0003,1.3281708001159132,17.776116399792954
15,0.03947181204319,0.040092053532600404,0.0003,1.169262200128287,18.94683669996448
16,0.03937059465527534,0.04256109910309315,0.0003,1.1443549999967217,20.097333899931982
17,0.038764099220037464,0.04252144193947315,0.0003,1.253392699873075,21.351968599949032
18,0.03891580728232861,0.043006437450647354,0.0003,1.3004705999046564,22.653636399889365
19,0.03864574638962746,0.041933025434613226,0.0003,1.1639566000085324,23.818783599883318
20,0.03870403755903244,0.04053167623877525,0.0003,1.2649753999430686,25.084915899904445
21,0.0383165397554636,0.04262970691025257,0.0003,1.3182539001572877,26.41217579995282
22,0.03812105414867401,0.04068356432467699,0.0003,1.137891999911517,27.551241599954665
23,0.03802560099840164,0.04292743685245514,0.0003,1.250149899860844,28.802569799823686
24,0.03815420982539654,0.042457906866073605,0.0003,1.160704200156033,29.9648749998305
25,0.03783802946925163,0.042901522517204284,0.0003,1.2823063000105321,31.24874039995484
26,0.037786928795576095,0.04270890001654625,0.0003,1.1523574001621455,32.40708589996211
27,0.037531772030591964,0.042429904136061666,0.0003,1.2837686000857502,33.69224789994769
28,0.03737434764027595,0.04443407461941242,0.0003,1.2978586999233812,34.991319899912924
29,0.03699088064491749,0.040934186351299286,0.0003,1.1612366000190377,36.15379869984463
30,0.037215209797620774,0.043238885813951494,0.0003,1.3282120001967996,37.483518299879506
31,0.03709059609651565,0.040454850453138354,0.0003,1.3578405999578536,38.849531799787655
32,0.03697955376625061,0.04473843679428101,0.0003,1.2441912000067532,40.09502759994939
33,0.036866678631305695,0.04164816436767578,0.0003,1.333511000033468,41.43012159992941
34,0.0370425187420845,0.044604190382361415,0.0003,1.1787684999872,42.61017949995585
35,0.03684603597283363,0.03857701631486416,0.0003,1.3094852999784052,43.92102909996174
36,0.03620902366638184,0.04097993243336678,0.0003,1.1501193998847157,45.08453609980643
37,0.03644748059391975,0.0429900238096714,0.0003,1.2965319999493659,46.38239199994132
38,0.03609285012125969,0.042919748413562775,0.0003,1.3185797999612987,47.70252089994028
39,0.03610512499809265,0.0414500697106123,0.0003,1.2021320001222193,48.905762599781156
40,0.035823657047748564,0.04322461897432804,0.0003,1.27296660002321,50.18023639987223
41,0.03571285215675831,0.0437877147167921,0.0003,1.192518100142479,51.380175499944016
42,0.0355185429751873,0.04367120949625969,0.0003,1.3010698000434786,52.68280879990198
43,0.035556249022483825,0.042799950093030927,0.0003,1.1649042998906225,53.84956659981981
44,0.03550089859962463,0.04246892611682415,0.0003,1.2833042000420392,55.134183699963614
45,0.035434889134168625,0.042789132058620456,0.0003,1.2960167001001537,56.43132149986923
46,0.03523097683131695,0.0442468705534935,0.0003,1.171781999990344,57.60994409979321
47,0.03506596421122551,0.0428771798402071,0.0003,1.2883200000505894,58.90014229994267
48,0.0352925582832098,0.041064811101555826,0.0003,1.2156000998802483,60.116979599930346
49,0.03476491697907448,0.04761486638188362,0.0003,1.2908314000815153,61.40935919992626
50,0.0351130840742588,0.04380341562330723,0.0003,1.1585984998382628,62.5697390998248
