dataset_scale,world_model_architecture,strategy,mean_return,std_return,median_return,mean_delta_vs_bc,win_rate_vs_bc,mean_runtime_seconds,mean_model_evaluations
M-100,GRU,CEM,-274181.33429973444,395.60583535054315,-274214.13541222946,14229.174164963897,1.0,22.459026580071075,1280000.0
M-1000,Transformer-2L,MPPI,-220128.68709963927,1699.0903738508955,-220755.16596088128,68281.82136505903,1.0,29.09176411998924,5120000.0
M-10000,Transformer-2L,MPPI,-223875.51424628776,1032.754030513906,-223937.55512848886,64534.994218410575,1.0,29.915633619972503,5120000.0
