dataset_scale,world_model_architecture,world_model_checkpoint,strategy,seed,episode_return,episode_length,action_clipped_fraction,runtime_seconds,planning_or_inference_seconds,mean_planner_or_inference_latency_seconds,median_planner_or_inference_latency_seconds,model_evaluations,source
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,102,-221337.5418629277,1000,0.0,28.678217999869958,28.307871697703376,0.028307871697703376,0.02802760014310479,5120000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,103,-220691.68654231113,1000,0.0,29.03534150007181,28.6586446990259,0.0286586446990259,0.028433550149202347,5120000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,104,-221304.33868469097,1000,0.0,29.926205300027505,29.5353863989003,0.029535386398900302,0.02874394995160401,5120000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,105,-220359.19265474833,1000,0.0,29.487258800072595,29.111812303075567,0.029111812303075565,0.028813949902541935,5120000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,106,-220198.96053118235,1000,0.0,29.566961499862373,29.187962896423414,0.029187962896423416,0.028905900078825653,5120000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,107,-217825.51091557165,1000,0.0,29.598047599894926,29.222930401563644,0.029222930401563645,0.028870399808511138,5120000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,108,-220818.6453794514,1000,0.0,29.665079100057483,29.289374202955514,0.029289374202955513,0.028927500010468066,5120000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,109,-221529.27620450375,1000,0.0,29.629107600077987,29.253396500600502,0.029253396500600503,0.028895950061269104,5120000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,100,-224873.74966045766,1000,0.0,29.701208899961784,29.317229196894914,0.029317229196894914,0.028960050083696842,5120000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,101,-222690.9752128462,1000,0.0,29.521605499787256,29.141854994930327,0.029141854994930327,0.028888800065033138,5120000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,102,-224916.6293293157,1000,0.0,29.62947480008006,29.24856850039214,0.02924856850039214,0.028960200026631355,5120000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,103,-224019.97925197388,1000,0.0,29.758321200031787,29.381192700006068,0.029381192700006067,0.029030199977569282,5120000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,104,-222884.80197341536,1000,0.0,29.68639579997398,29.305670198285952,0.029305670198285953,0.02899694989901036,5120000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,105,-223098.86624568922,1000,0.0,30.125334199983627,29.746145306155086,0.029746145306155086,0.029003949952311814,5120000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,106,-225726.8782856896,1000,0.0,31.639511700021103,31.26005799602717,0.03126005799602717,0.029128799913451076,5120000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,107,-222454.1558548689,1000,0.0,29.591281400062144,29.24058659770526,0.02924058659770526,0.029020149959251285,5120000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,108,-224233.97564361722,1000,0.0,29.642621299950406,29.29765639733523,0.029297656397335232,0.02906725008506328,5120000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,109,-223855.13100500382,1000,0.0,29.8605813998729,29.512784398393705,0.029512784398393707,0.029264449956826866,5120000,main_system_matrix
