epoch,train_nll,val_official_sum_batch_mse,val_mse
1,6322.127,1932.9646606445312,48.335350309244795
2,2.44093212890625,123.01556372642517,3.074696501159668
3,1.05879052734375,16.698705464601517,0.4178976245880127
4,0.9242138061523437,18.483972430229187,0.46250943959554036
5,0.864151123046875,17.827875643968582,0.4461047917683919
6,0.8323958129882812,17.51353818178177,0.4383144603729248
7,0.8050565185546875,15.49196457862854,0.3881510744094849
8,0.7739188232421875,15.580369621515274,0.38985730056762696
9,0.7512023315429688,13.386675149202347,0.3348912680943807
10,0.6821873779296875,12.891376376152039,0.32249940897623697
11,0.6328225708007813,14.439010322093964,0.3609842409133911
12,0.5547637939453125,11.55435760319233,0.28886838223139444
13,0.49129998779296874,21.199546098709106,0.5294060800552368
14,0.438826416015625,10.109512448310852,0.2530519418716431
15,0.43014886474609376,8.436021864414215,0.2111571151415507
16,0.41577642822265626,6.725195840001106,0.16878704799016317
17,0.40402377319335936,8.548739969730377,0.21384645932515461
18,0.3841225891113281,12.176609724760056,0.30389381074905397
19,0.36862530517578124,6.364277392625809,0.15962639838854473
20,0.32073486328125,7.843629330396652,0.1956905083656311
21,0.22328021240234375,5.8642637729644775,0.14640045261383056
22,0.15130613708496093,5.466874927282333,0.13690419185956318
23,0.019177515029907225,5.355426378548145,0.13361458638509113
24,-0.17020925903320314,5.971267908811569,0.14978870061238606
25,38.12037890625,12.979601323604584,0.3238293627421061
26,0.2899411926269531,11.439057618379593,0.2855057615915934
27,0.08556523132324219,7.206479161977768,0.179747474861145
28,0.2295939483642578,7.294884651899338,0.18205166171391804
29,0.18900169372558595,6.057730153203011,0.15116972893079123
30,0.05175160598754883,4.951507143676281,0.12406151571273803
31,-0.060099475860595705,5.956369988620281,0.1488954415957133
32,-0.14817697143554687,4.549022041261196,0.11349025688171387
33,-0.19087240600585936,4.972111441195011,0.1243017332871755
34,-0.22473988342285156,4.491040736436844,0.11218842307726543
35,8536059805.696,31104642.1875,777942.0741333333
36,407324.48,31093698.625,777668.3845333334
37,178898.16,31086360.3125,777484.8573333333
38,96143.824,31079831.5625,777321.5710666666
39,55557.764,31073614.875,777166.0904
40,33239.962,31067500.5625,777013.1694666666
41,20244.006,31061334.375,776858.9514666667
42,12449.93,31055140.875,776704.0477333333
43,7702.227,31048753.625,776544.3085333334
44,4779.1745,31042213.375,776380.7381333334
45,2973.49925,31035494.25,776212.6954666667
46,1852.192875,31028603.3125,776040.3581333334
47,1155.4915,31021598.8125,775865.1768
48,722.277625,31014359.4375,775684.1238666667
49,452.54934375,31006814.5625,775495.428
50,284.55309375,30998850.5625,775296.2474666666
51,179.075125,30990523.3125,775087.9942666667
52,113.0209140625,30981891.375,774872.1045333333
53,71.64228125,30972707.0625,774642.4098666667
54,45.82500390625,30963076.5,774401.5592
55,29.60787109375,30953108.5625,774152.2666666667
56,19.624912109375,30942662.375,773891.0084
57,13.383447265625,30931833.3125,773620.178
58,9.573017578125,30920296.75,773331.6596
59,7.21511767578125,30907918.5,773022.0824
60,5.81077490234375,30894927.9375,772697.1913333334
61,4.982509765625,30880750.25,772342.6213333333
62,4.4818828125,30865315.625,771956.6037333333
63,4.22723974609375,30847653.9375,771514.8909333333
64,4.096130859375,30826028.1875,770974.048
65,4.018333984375,30798841.3125,770294.1149333334
66,3.99710205078125,30761874.0,769369.5768
67,4.000642333984375,30709370.5625,768056.4954666666
68,4.021607666015625,30627391.25,766006.2486666667
69,4.024029541015625,30492547.125,762633.9181333333
70,4.04618359375,30269917.0625,757066.188
71,4.035586669921875,29924463.125,748426.7436
72,4.0224482421875,29390855.6875,735081.6417333334
73,4.06461865234375,28545718.8125,713945.2210666667
74,4.09016796875,27246336.8125,681448.2228
75,4.04556298828125,25424437.0,635883.066
76,4.053800537109375,22865049.6875,571873.8780666667
77,4.030811279296875,19424955.6875,485837.2253333333
78,4.013008056640625,14944185.59375,373771.0493333333
79,3.904838623046875,9720165.5625,243113.34153333333
80,3.772909912109375,3345571.25,83677.655575
81,3.082276123046875,28.386255204677582,0.7171155016581218
82,2.356457275390625,21.792281329631805,0.5481428634643555
83,1.8951612548828125,14.490238964557648,0.36266534163157144
84,1.5163277587890625,346.1866455078125,8.659634590657552
85,1.23326171875,16.68550732731819,0.4178533778508504
86,0.9356170043945312,6.0011288076639175,0.15057017695109048
87,0.5954324951171875,5.1894306764006615,0.1298814184506734
88,0.26282000732421873,4.114753820002079,0.10308997421264648
89,43825934368.768,18567120.34375,464378.49686666665
90,2584020.736,18548291.4375,463907.6288
91,827969.728,18536167.3125,463604.4070666667
92,417793.728,18525806.15625,463345.2613333333
93,235189.28,18516043.53125,463101.1038666667
94,138895.6,18506533.65625,462863.2461333333
95,83987.76,18497034.90625,462625.6802
96,51442.44,18487421.40625,462385.2586666667
97,31755.574,18477715.25,462142.5137333333
98,19673.926,18467858.0625,461896.0012666667
99,12227.127,18457832.28125,461645.266
100,7609.0905,18447569.65625,461388.60573333333
