evaluation_source,system,sample_id,episode_return
NeoRL dataset trajectories,Original Behavior,110,-283425.71875
NeoRL dataset trajectories,Original Behavior,111,-282676.8125
NeoRL dataset trajectories,Original Behavior,112,-281829.71875
NeoRL dataset trajectories,Original Behavior,113,-281736.0
NeoRL dataset trajectories,Original Behavior,114,-280869.0
NeoRL dataset trajectories,Original Behavior,115,-281589.0
NeoRL dataset trajectories,Original Behavior,116,-283619.1875
NeoRL dataset trajectories,Original Behavior,117,-283490.65625
NeoRL dataset trajectories,Original Behavior,118,-282619.6875
NeoRL dataset trajectories,Original Behavior,119,-282528.625
NeoRL dataset trajectories,Original Behavior,120,-283425.8125
NeoRL dataset trajectories,Original Behavior,121,-283975.78125
NeoRL dataset trajectories,Original Behavior,122,-283513.90625
NeoRL dataset trajectories,Original Behavior,123,-282557.28125
NeoRL dataset trajectories,Original Behavior,124,-282701.53125
NeoRL dataset trajectories,Original Behavior,125,-280249.875
NeoRL dataset trajectories,Original Behavior,126,-282909.75
NeoRL dataset trajectories,Original Behavior,127,-283304.4375
NeoRL dataset trajectories,Original Behavior,128,-283382.4375
NeoRL dataset trajectories,Original Behavior,129,-282737.6875
NeoRL dataset trajectories,Original Behavior,130,-282782.40625
NeoRL dataset trajectories,Original Behavior,131,-282270.5625
NeoRL dataset trajectories,Original Behavior,132,-283648.875
NeoRL dataset trajectories,Original Behavior,133,-282580.90625
NeoRL dataset trajectories,Original Behavior,134,-282759.15625
NeoRL dataset trajectories,Original Behavior,135,-282980.0625
NeoRL dataset trajectories,Original Behavior,136,-283155.0
NeoRL dataset trajectories,Original Behavior,137,-282617.6875
NeoRL dataset trajectories,Original Behavior,138,-284861.46875
NeoRL dataset trajectories,Original Behavior,139,-282989.09375
NeoRL dataset trajectories,Original Behavior,140,-283717.6875
NeoRL dataset trajectories,Original Behavior,141,-283401.4375
NeoRL dataset trajectories,Original Behavior,142,-282485.96875
NeoRL dataset trajectories,Original Behavior,143,-282725.03125
NeoRL dataset trajectories,Original Behavior,144,-283077.4375
NeoRL dataset trajectories,Original Behavior,145,-283160.3125
NeoRL dataset trajectories,Original Behavior,146,-282550.34375
NeoRL dataset trajectories,Original Behavior,147,-282461.125
NeoRL dataset trajectories,Original Behavior,148,-283179.625
NeoRL dataset trajectories,Original Behavior,149,-283234.75
NeoRL dataset trajectories,Original Behavior,150,-281470.125
NeoRL dataset trajectories,Original Behavior,151,-283104.125
NeoRL dataset trajectories,Original Behavior,152,-282785.40625
NeoRL dataset trajectories,Original Behavior,153,-282403.3125
NeoRL dataset trajectories,Original Behavior,154,-281568.0625
NeoRL dataset trajectories,Original Behavior,155,-281932.21875
NeoRL dataset trajectories,Original Behavior,156,-282464.0
NeoRL dataset trajectories,Original Behavior,157,-283449.4375
NeoRL dataset trajectories,Original Behavior,158,-283572.4375
NeoRL dataset trajectories,Original Behavior,159,-284007.59375
NeoRL dataset trajectories,Original Behavior,160,-283761.1875
NeoRL dataset trajectories,Original Behavior,161,-283003.28125
NeoRL dataset trajectories,Original Behavior,162,-283475.0625
NeoRL dataset trajectories,Original Behavior,163,-280515.4375
NeoRL dataset trajectories,Original Behavior,164,-282484.625
NeoRL dataset trajectories,Original Behavior,165,-284377.75
NeoRL dataset trajectories,Original Behavior,166,-281025.5
NeoRL dataset trajectories,Original Behavior,167,-282897.4375
NeoRL dataset trajectories,Original Behavior,168,-283115.25
NeoRL dataset trajectories,Original Behavior,169,-282681.75
NeoRL dataset trajectories,Original Behavior,170,-282611.71875
NeoRL dataset trajectories,Original Behavior,171,-283223.875
NeoRL dataset trajectories,Original Behavior,172,-282762.875
NeoRL dataset trajectories,Original Behavior,173,-283640.125
NeoRL dataset trajectories,Original Behavior,174,-283221.15625
NeoRL dataset trajectories,Original Behavior,175,-282755.8125
NeoRL dataset trajectories,Original Behavior,176,-284284.78125
NeoRL dataset trajectories,Original Behavior,177,-282746.625
NeoRL dataset trajectories,Original Behavior,178,-283555.09375
NeoRL dataset trajectories,Original Behavior,179,-282872.875
NeoRL dataset trajectories,Original Behavior,180,-284487.84375
NeoRL dataset trajectories,Original Behavior,181,-282744.9375
NeoRL dataset trajectories,Original Behavior,182,-283039.28125
NeoRL dataset trajectories,Original Behavior,183,-282155.875
NeoRL dataset trajectories,Original Behavior,184,-282599.8125
NeoRL dataset trajectories,Original Behavior,185,-283685.375
NeoRL dataset trajectories,Original Behavior,186,-282867.125
NeoRL dataset trajectories,Original Behavior,187,-283654.3125
NeoRL dataset trajectories,Original Behavior,188,-283185.0
NeoRL dataset trajectories,Original Behavior,189,-282502.3125
NeoRL dataset trajectories,Original Behavior,190,-283973.40625
NeoRL dataset trajectories,Original Behavior,191,-279986.59375
NeoRL dataset trajectories,Original Behavior,192,-282719.5625
NeoRL dataset trajectories,Original Behavior,193,-281798.5
NeoRL dataset trajectories,Original Behavior,194,-280107.28125
NeoRL dataset trajectories,Original Behavior,195,-283199.4375
NeoRL dataset trajectories,Original Behavior,196,-284394.25
NeoRL dataset trajectories,Original Behavior,197,-279799.375
NeoRL dataset trajectories,Original Behavior,198,-283921.0625
NeoRL dataset trajectories,Original Behavior,199,-282325.3125
NeoRL dataset trajectories,Original Behavior,200,-282935.625
NeoRL dataset trajectories,Original Behavior,201,-280755.125
NeoRL dataset trajectories,Original Behavior,202,-283967.5625
NeoRL dataset trajectories,Original Behavior,203,-283448.53125
NeoRL dataset trajectories,Original Behavior,204,-282752.5
NeoRL dataset trajectories,Original Behavior,205,-282870.03125
NeoRL dataset trajectories,Original Behavior,206,-283683.625
NeoRL dataset trajectories,Original Behavior,207,-282766.1875
NeoRL dataset trajectories,Original Behavior,208,-283401.0625
NeoRL dataset trajectories,Original Behavior,209,-283971.46875
