scale,architecture,total_epochs,selected_epoch,selected_train_mse,selected_val_mse,last_train_mse,last_val_mse
M100,GRU,50,35,0.0343176247537136,0.0360344658389687,0.0332698143291473,0.0359255294844508
M1000,Transformer-2L,50,20,0.0288063379929065,0.033240008944869,0.0252107936633825,0.0345565104025602
M10000,Transformer-2L,10,4,0.0184652215732336,0.0412513083670139,0.0144706377461433,0.0431615451402664
