condition,gradient_step,model_reward_mean,model_reward_min,model_state_abs_max,policy_loss,value_loss,behavior_kl,entropy,approx_old_policy_kl,clip_fraction,actor_grad_norm,value_grad_norm
with behavior KL,1200,-288.06158447265625,-356.62158203125,198.642578125,0.1761113107204437,1120866.0,1.092648983001709,1.2523791790008545,0.2651492357254028,0.69921875,301.5242614746094,20624.232421875
with behavior KL,1300,-283.081298828125,-354.9814758300781,193.02122497558597,0.2293973267078399,1102605.5,0.5487478375434875,1.2342946529388428,0.2716912627220154,0.73046875,227.55540466308597,21055.33984375
with behavior KL,1400,-284.8453063964844,-351.81640625,202.9750823974609,0.1768694221973419,948522.375,0.7137370109558105,1.2099257707595823,0.5994353294372559,0.875,233.4877014160156,19692.400390625
with behavior KL,1500,-283.73199462890625,-357.0077514648437,199.63999938964844,0.0389267243444919,996970.3125,0.2092849612236023,1.155719518661499,0.1878872364759445,0.70703125,86.86914825439453,19954.349609375
with behavior KL,1600,-282.7865600585937,-357.2204895019531,202.7407073974609,0.1882298588752746,1035236.1875,0.3565781116485595,1.0902349948883057,0.4396853446960449,0.80859375,151.487060546875,20810.884765625
with behavior KL,1700,-283.6679992675781,-351.8606872558594,203.34957885742188,0.0781824514269828,1091728.0,0.206922709941864,1.0731778144836426,0.0994726344943046,0.46484375,68.93282318115234,21585.716796875
with behavior KL,1800,-284.9986877441406,-360.19830322265625,198.70626831054688,0.1262887865304947,1118551.75,0.3390435576438904,1.0191011428833008,0.1852698922157287,0.66796875,151.94900512695312,21822.734375
with behavior KL,1900,-284.8839111328125,-348.75897216796875,201.0050506591797,-0.0108849331736564,942005.75,0.1391303837299347,1.0824214220046997,0.1619739532470703,0.625,50.586124420166016,19863.9609375
with behavior KL,2000,-288.992431640625,-357.4180603027344,201.27757263183597,0.2209422141313552,1097552.75,0.1683658212423324,1.0581340789794922,0.5992188453674316,0.8671875,71.1060791015625,21392.962890625
with behavior KL,2100,-285.7509460449219,-354.5883178710937,198.3651428222656,0.0690664052963256,1058163.25,0.1642190515995025,1.0102527141571045,0.0964023545384407,0.67578125,81.4546890258789,21084.4921875
with behavior KL,2200,-284.0757751464844,-357.08905029296875,198.7563323974609,-0.0511394590139389,932010.75,0.1765855401754379,0.9823504686355592,0.1130986288189888,0.66015625,106.28348541259766,19678.232421875
with behavior KL,2300,-284.615478515625,-344.1656799316406,199.94781494140625,-0.010275580920279,1012058.0,0.1779793500900268,0.9956965446472168,0.0679327845573425,0.4453125,112.85955047607422,20528.029296875
with behavior KL,2400,-284.6865539550781,-359.17498779296875,197.6160125732422,0.0517284423112869,996482.25,0.2535897195339203,1.0078378915786743,0.2156563699245453,0.73828125,110.6729736328125,20483.294921875
with behavior KL,2500,-286.17254638671875,-350.1356811523437,199.4562530517578,0.1352159678936004,1005149.5,0.276485413312912,1.0164998769760132,0.2701837122440338,0.77734375,114.02351379394533,20528.55078125
with behavior KL,2600,-284.49420166015625,-347.8718566894531,185.6259765625,0.0649398565292358,1078821.0,0.0884143859148025,0.9424211382865906,0.0282653700560331,0.58984375,43.75601959228516,21339.939453125
with behavior KL,2700,-284.421875,-356.37896728515625,203.41107177734372,0.0426538586616516,1013318.125,0.0869266167283058,0.9267839193344116,0.0917587876319885,0.61328125,77.38166046142578,20543.888671875
with behavior KL,2800,-284.3218688964844,-350.14263916015625,196.4076232910156,0.0324483141303062,1047222.5,0.1008516103029251,0.9195111393928528,0.0392542257905006,0.34375,34.371620178222656,21083.953125
with behavior KL,2900,-285.122314453125,-352.53131103515625,199.94781494140625,0.0144756771624088,1005339.4375,0.1052490174770355,0.9539757370948792,0.0342979617416858,0.42578125,88.5713119506836,20609.490234375
with behavior KL,3000,-283.60137939453125,-350.1966552734375,196.4076232910156,0.1063800156116485,1053518.625,0.0778203979134559,0.9160905480384828,0.0688863173127174,0.62890625,58.39120101928711,21060.40234375
with behavior KL,3100,-284.6475524902344,-355.61968994140625,198.1729888916016,0.0176966339349746,987385.8125,0.1059099435806274,0.9554873704910278,0.0662496760487556,0.49609375,62.63548278808594,20319.974609375
with behavior KL,3200,-283.8069763183594,-349.26348876953125,202.7407073974609,0.0856372043490409,1051888.75,0.1571183502674102,0.9240411520004272,0.0094834975898265,0.34375,74.61006927490234,21224.916015625
with behavior KL,3300,-284.9626159667969,-357.7877197265625,196.84120178222656,0.0558846294879913,1030729.5,0.0927515923976898,0.9575012922286988,0.0819025114178657,0.48828125,12.141592979431152,20952.60546875
