epoch,one_step_NRMSE,NRMSE_H5,NRMSE_H10,NRMSE_H20,mean_NRMSE_H5_H10_H20,NRMSE_H50,selected_within_architecture,selected_status
5,0.1858918108509107,0.3470141993481979,0.6066720810466717,0.7421195757451836,0.565268618713351,1.1275411041857817,False,candidate
10,0.1840844324423976,0.2931157555599055,0.4264578544619088,0.6055409500753893,0.4417048533657346,1.0820392639286387,False,candidate
11,0.1762427704456615,0.2562607853334935,0.3650476535592999,0.5026250903436541,0.3746445097454825,0.9118264681710218,False,candidate
15,0.1846259734693395,0.2626813662435697,0.3513082813503356,0.5470114038309514,0.3870003504749522,1.2355789340126744,False,candidate
20,0.1826338183852757,0.2432193441141712,0.3054294132759139,0.4045604478687302,0.3177364017529384,0.7744742181715601,True,best_world_model
25,0.1792174680528526,0.2603118349323594,0.3319992179558983,0.4468505662915992,0.3463872063932857,0.7768125184322408,False,candidate
30,0.1775799726832573,0.2594659243606104,0.3920690838353586,0.7043799735102435,0.4519716605687375,2.499200593254677,False,candidate
35,0.177249833794887,0.2503916065218615,0.3420618449135988,0.4494553724014704,0.347302941278977,0.8792786161864831,False,candidate
40,0.1815106528449263,0.2569634362326053,0.3485951469309672,0.4912340168572334,0.3655975333402686,2.0213232633711766,False,candidate
45,0.1899709710387607,0.2536378017558451,0.307449755464906,0.4066814533845959,0.3225896702017823,0.7225173565513416,False,candidate
50,0.1782501875051479,0.2486583136432811,0.3352195870146246,0.4856578662707704,0.3565119223095587,1.074227443513785,False,candidate
