horizon,episodes,mean_return,std_return,median_return,delta_vs_h10,selected
5,5,-280283.9014937871,1052.4850969943518,-280282.8757187169,-10909.956143737596,False
10,5,-269373.94535004953,486.88084947079057,-269071.8089461006,0.0,True
20,5,-272618.28187761264,489.72707892066313,-272624.7578133332,-3244.3365275631077,False
